,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15
Item_1,1.0,-0.015066271064370739,-0.01761978054374485,-0.044204704742414454,-0.013527398437328137,0.014040764795467134,-0.03276965507477021,0.046035367680776755,-0.015513719293691402,-0.0355750784334604,-0.01913729355244226,0.02869062277613186,-0.02710644883766165,0.026866474854049402,0.004031436082060795
Item_2,-0.015066271064370739,1.0,-0.0374191971046484,0.024007046727680236,0.005459479728930849,-0.030220533265612307,-0.021516686235497507,-0.013058615117888228,-0.030789294470109668,-0.008865332045548513,0.011448520211504342,0.03686172557887519,-0.021152842781274824,-0.020355406899218477,0.0354453698557653
Item_3,-0.01761978054374485,-0.0374191971046484,1.0,-0.03662135376001707,0.008555867500448455,-0.03491361652525603,0.013668845012319315,0.009045691976498753,0.011116775546824791,-0.03078300744605614,-0.013303420001927347,0.023890002396178476,0.01391752627404262,-0.02093695962245656,0.018326849511170234
Item_4,-0.044204704742414454,0.024007046727680236,-0.03662135376001707,1.0,0.03220790062464152,0.024890927695734224,0.010950147987278367,-0.045704028574712494,-0.03840014887961629,0.037929119575300124,0.02609578703925091,-0.0037823685524598282,-0.04135040452531104,0.005932681767890646,-0.039026108541857146
Item_5,-0.013527398437328137,0.005459479728930849,0.008555867500448455,0.03220790062464152,1.0,0.005622744549548681,-0.0160211857490593,0.014581429032522807,-0.009468669339268524,0.014376345316780365,-0.042817391786995465,0.001050938328227979,0.024621916979997594,0.005134399527566542,-0.014958866236288627
Item_6,0.014040764795467134,-0.030220533265612307,-0.03491361652525603,0.024890927695734224,0.005622744549548681,1.0,-0.003085403564123855,-0.033504555287993856,-0.03589217054589941,-0.048789899729683756,-0.061299700648102785,-0.016309374456920118,-0.0017306129454768503,0.00907314547888935,0.004438240635443426
Item_7,-0.03276965507477021,-0.021516686235497507,0.013668845012319315,0.010950147987278367,-0.0160211857490593,-0.003085403564123855,1.0,-0.027535712689647718,0.012845112964270322,-0.03425952286568357,0.00900410861062885,-7.569964433048158e-05,-0.03178414855740674,-0.015851579397401536,-0.031030545035679896
Item_8,0.046035367680776755,-0.013058615117888228,0.009045691976498753,-0.045704028574712494,0.014581429032522807,-0.033504555287993856,-0.027535712689647718,1.0,-0.052006034819812745,-0.011465747064185667,-0.018396394438437123,-0.009082698983482504,-0.02793225232789858,0.04343960513560338,-0.014292450218079438
Item_9,-0.015513719293691402,-0.030789294470109668,0.011116775546824791,-0.03840014887961629,-0.009468669339268524,-0.03589217054589941,0.012845112964270322,-0.052006034819812745,1.0,-0.00849873217043929,-0.031457491831790696,0.011788105787073167,-0.011364787338552985,-0.006512698912401976,0.020999419415807713
Item_10,-0.0355750784334604,-0.008865332045548513,-0.03078300744605614,0.037929119575300124,0.014376345316780365,-0.048789899729683756,-0.03425952286568357,-0.011465747064185667,-0.00849873217043929,1.0,-0.0069994857432578205,-0.07083147940029784,-0.009432261044614662,-0.002435984952897356,-0.023660867776827653
Item_11,-0.01913729355244226,0.011448520211504342,-0.013303420001927347,0.02609578703925091,-0.042817391786995465,-0.061299700648102785,0.00900410861062885,-0.018396394438437123,-0.031457491831790696,-0.0069994857432578205,1.0,0.007784446914394869,0.006494538430963054,-0.006043244411244361,0.02563003017423354
Item_12,0.02869062277613186,0.03686172557887519,0.023890002396178476,-0.0037823685524598282,0.001050938328227979,-0.016309374456920118,-7.569964433048158e-05,-0.009082698983482504,0.011788105787073167,-0.07083147940029784,0.007784446914394869,1.0,0.0018648847069881152,-0.018068390862034947,0.02505373960817529
Item_13,-0.02710644883766165,-0.021152842781274824,0.01391752627404262,-0.04135040452531104,0.024621916979997594,-0.0017306129454768503,-0.03178414855740674,-0.02793225232789858,-0.011364787338552985,-0.009432261044614662,0.006494538430963054,0.0018648847069881152,1.0,0.01659069168828227,0.01048640116630214
Item_14,0.026866474854049402,-0.020355406899218477,-0.02093695962245656,0.005932681767890646,0.005134399527566542,0.00907314547888935,-0.015851579397401536,0.04343960513560338,-0.006512698912401976,-0.002435984952897356,-0.006043244411244361,-0.018068390862034947,0.01659069168828227,1.0,-0.00013579019704004926
Item_15,0.004031436082060795,0.0354453698557653,0.018326849511170234,-0.039026108541857146,-0.014958866236288627,0.004438240635443426,-0.031030545035679896,-0.014292450218079438,0.020999419415807713,-0.023660867776827653,0.02563003017423354,0.02505373960817529,0.01048640116630214,-0.00013579019704004926,1.0
