,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9
Rater_1,0.042094641772114805,-0.15356043337149272,0.12513983029269055,0.027938659558840933,-0.07642521571588377,0.1319670661675748,-0.12150551008115826,0.13231185185904662,-0.06056226379236073
Rater_2,-0.15413489898124216,-0.03797119032627868,0.12325473984335748,0.043647742609956665,-0.0411202861273907,-0.0641558278209117,0.2088204048613498,-8.165926932573412e-05,-0.09476107660443883
Rater_3,-0.04750168036977331,-0.19853155432386665,-0.0180941916849018,-0.11321629221259889,0.10758047703388629,0.025889334235319698,0.040805380754193626,-0.0534321358443147,0.17018202323182333
Rater_4,0.1756420288783602,0.09530619346769167,0.012377685902669251,-0.003977567145809254,-0.020707190097991914,-0.08298835216882394,0.09831193646316527,0.17252504077871464,0.11491736398140236
Rater_5,-0.0918403382947496,0.028432020341611304,-0.06689853677250392,-0.15093486832573716,-0.18062497487426865,-0.13855944637943193,-0.11251437145903313,-0.01278420509675309,-0.0012918786683115996
Rater_6,-0.06087061543297987,-0.01774403067002187,-0.09902300258860362,0.09286929122599341,0.19880477314997533,-0.12605298993977485,-0.09426417930810141,0.08455819537742534,-0.07804905855423407
Rater_7,0.19808102952015752,-0.02502939476178389,-0.08107338508386674,-0.11352244060184825,0.033463981269525184,0.030293623728913317,0.06229487695077841,-0.09652119640713457,-0.16142552394329668
Rater_8,0.06624672547402977,0.09509461702155868,0.20340669753227678,0.06201869849472164,0.04816232882296039,-0.056863312580140046,-0.09572357868878555,-0.1609686165408491,0.04572795584325962
Rater_9,0.015972618456316146,-0.02667854926666077,-0.16399867361676815,0.2168495246315416,-0.11661460486051962,0.05386454156392148,0.019781788524251893,-0.0832435720290981,0.05511524883355742
Rater_10,-0.11982373863679208,0.2081689836695739,-0.03111719790026424,-0.06324113648995211,0.056896059032557324,0.19303303706267474,0.0034504358893672708,0.02785497956521373,0.008019262950947032
