,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Item_1,1.0,0.017426765249351425,-0.0022491403259779167,-0.02562326154361101,-0.005016914724535149,0.004094149530774362,-0.025633377494873412,0.004652875687062884,-0.007236399675041944,-0.019543466594990132,-0.020598828579576043,0.010066132330993452
Item_2,0.017426765249351425,1.0,0.0033973382880777094,-0.034116679300917656,0.02780147638280758,-0.04630279012885676,0.003170471822181956,-0.009755909866465304,-0.005167125927572185,-0.006187714185876253,0.04106791075169264,0.04604713028598754
Item_3,-0.0022491403259779167,0.0033973382880777094,1.0,-0.01617385653465781,0.011196496009543378,0.003021713094972967,-0.031404793359924084,-0.03101534375679651,-0.0451934197574892,-0.0035151605814182727,0.003193815075451738,0.009658821196648522
Item_4,-0.02562326154361101,-0.034116679300917656,-0.01617385653465781,1.0,-0.018724007634640827,-0.06459815387070612,-0.01824886578645076,-0.03881929990744398,-0.007847520068702945,-0.03432216686865503,-0.005261845320044532,-0.01376096599668611
Item_5,-0.005016914724535149,0.02780147638280758,0.011196496009543378,-0.018724007634640827,1.0,-0.054009770969789886,-0.020675259721355272,-0.034435173907731396,-0.029179398423645395,0.005171832002798233,-0.015479287468637814,0.002267951738459941
Item_6,0.004094149530774362,-0.04630279012885676,0.003021713094972967,-0.06459815387070612,-0.054009770969789886,1.0,0.02900873102984952,-0.05335087063909636,0.0027823889663290574,-0.0009276217375915442,0.010050111015044421,-0.015102238761547863
Item_7,-0.025633377494873412,0.003170471822181956,-0.031404793359924084,-0.01824886578645076,-0.020675259721355272,0.02900873102984952,1.0,-0.028076737810578664,-0.019675104964519362,-0.020675427012537256,-0.01799992358227591,-0.019335075311291274
Item_8,0.004652875687062884,-0.009755909866465304,-0.03101534375679651,-0.03881929990744398,-0.034435173907731396,-0.05335087063909636,-0.028076737810578664,1.0,-0.00937210114602742,-0.013185910591924456,-0.003962871324545944,-0.025282959103699584
Item_9,-0.007236399675041944,-0.005167125927572185,-0.0451934197574892,-0.007847520068702945,-0.029179398423645395,0.0027823889663290574,-0.019675104964519362,-0.00937210114602742,1.0,-0.017841265362270733,0.0032075153101231548,-0.02435260179715932
Item_10,-0.019543466594990132,-0.006187714185876253,-0.0035151605814182727,-0.03432216686865503,0.005171832002798233,-0.0009276217375915442,-0.020675427012537256,-0.013185910591924456,-0.017841265362270733,1.0,-0.02658642675152037,-0.014789223402096268
Item_11,-0.020598828579576043,0.04106791075169264,0.003193815075451738,-0.005261845320044532,-0.015479287468637814,0.010050111015044421,-0.01799992358227591,-0.003962871324545944,0.0032075153101231548,-0.02658642675152037,1.0,-0.018505669254614346
Item_12,0.010066132330993452,0.04604713028598754,0.009658821196648522,-0.01376096599668611,0.002267951738459941,-0.015102238761547863,-0.019335075311291274,-0.025282959103699584,-0.02435260179715932,-0.014789223402096268,-0.018505669254614346,1.0
