,Person,Group,Item,Threshold,Response
0,Person_4,Group_1,Item_1,Threshold_1,1.0
1,Person_7,Group_1,Item_1,Threshold_1,0.0
2,Person_10,Group_2,Item_1,Threshold_1,1.0
3,Person_11,Group_2,Item_1,Threshold_1,1.0
4,Person_15,Group_1,Item_1,Threshold_1,0.0
5,Person_16,Group_2,Item_1,Threshold_1,1.0
6,Person_18,Group_1,Item_1,Threshold_1,1.0
7,Person_19,Group_1,Item_1,Threshold_1,0.0
8,Person_22,Group_2,Item_1,Threshold_1,1.0
9,Person_24,Group_2,Item_1,Threshold_1,1.0
10,Person_26,Group_2,Item_1,Threshold_1,1.0
11,Person_29,Group_1,Item_1,Threshold_1,1.0
12,Person_34,Group_1,Item_1,Threshold_1,0.0
13,Person_36,Group_2,Item_1,Threshold_1,1.0
14,Person_55,Group_1,Item_1,Threshold_1,1.0
15,Person_56,Group_1,Item_1,Threshold_1,1.0
16,Person_63,Group_2,Item_1,Threshold_1,1.0
17,Person_64,Group_1,Item_1,Threshold_1,1.0
18,Person_67,Group_1,Item_1,Threshold_1,1.0
19,Person_69,Group_2,Item_1,Threshold_1,1.0
20,Person_72,Group_2,Item_1,Threshold_1,1.0
21,Person_74,Group_1,Item_1,Threshold_1,1.0
22,Person_77,Group_2,Item_1,Threshold_1,1.0
23,Person_79,Group_1,Item_1,Threshold_1,1.0
24,Person_80,Group_1,Item_1,Threshold_1,1.0
25,Person_81,Group_2,Item_1,Threshold_1,1.0
26,Person_87,Group_2,Item_1,Threshold_1,1.0
27,Person_94,Group_1,Item_1,Threshold_1,1.0
28,Person_97,Group_2,Item_1,Threshold_1,0.0
29,Person_107,Group_2,Item_1,Threshold_1,0.0
30,Person_108,Group_2,Item_1,Threshold_1,1.0
31,Person_110,Group_2,Item_1,Threshold_1,1.0
32,Person_117,Group_2,Item_1,Threshold_1,0.0
33,Person_118,Group_1,Item_1,Threshold_1,0.0
34,Person_121,Group_2,Item_1,Threshold_1,0.0
35,Person_123,Group_1,Item_1,Threshold_1,0.0
36,Person_124,Group_2,Item_1,Threshold_1,0.0
37,Person_125,Group_2,Item_1,Threshold_1,0.0
38,Person_127,Group_2,Item_1,Threshold_1,1.0
39,Person_129,Group_1,Item_1,Threshold_1,0.0
40,Person_132,Group_2,Item_1,Threshold_1,1.0
41,Person_133,Group_2,Item_1,Threshold_1,1.0
42,Person_138,Group_1,Item_1,Threshold_1,1.0
43,Person_140,Group_2,Item_1,Threshold_1,1.0
44,Person_141,Group_2,Item_1,Threshold_1,0.0
45,Person_142,Group_2,Item_1,Threshold_1,1.0
46,Person_145,Group_2,Item_1,Threshold_1,1.0
47,Person_148,Group_1,Item_1,Threshold_1,1.0
48,Person_152,Group_1,Item_1,Threshold_1,0.0
49,Person_158,Group_2,Item_1,Threshold_1,0.0
50,Person_164,Group_2,Item_1,Threshold_1,0.0
51,Person_165,Group_1,Item_1,Threshold_1,1.0
52,Person_168,Group_2,Item_1,Threshold_1,1.0
53,Person_169,Group_2,Item_1,Threshold_1,1.0
54,Person_173,Group_1,Item_1,Threshold_1,1.0
55,Person_175,Group_1,Item_1,Threshold_1,1.0
56,Person_176,Group_1,Item_1,Threshold_1,0.0
57,Person_180,Group_1,Item_1,Threshold_1,1.0
58,Person_181,Group_1,Item_1,Threshold_1,0.0
59,Person_188,Group_1,Item_1,Threshold_1,1.0
60,Person_190,Group_1,Item_1,Threshold_1,1.0
61,Person_194,Group_1,Item_1,Threshold_1,0.0
62,Person_200,Group_2,Item_1,Threshold_1,0.0
63,Person_201,Group_2,Item_1,Threshold_1,1.0
64,Person_202,Group_2,Item_1,Threshold_1,1.0
65,Person_203,Group_1,Item_1,Threshold_1,1.0
66,Person_204,Group_2,Item_1,Threshold_1,1.0
67,Person_205,Group_2,Item_1,Threshold_1,1.0
68,Person_207,Group_2,Item_1,Threshold_1,0.0
69,Person_208,Group_1,Item_1,Threshold_1,0.0
70,Person_209,Group_1,Item_1,Threshold_1,0.0
71,Person_211,Group_2,Item_1,Threshold_1,1.0
72,Person_218,Group_1,Item_1,Threshold_1,0.0
73,Person_223,Group_1,Item_1,Threshold_1,0.0
74,Person_232,Group_1,Item_1,Threshold_1,1.0
75,Person_236,Group_1,Item_1,Threshold_1,1.0
76,Person_238,Group_2,Item_1,Threshold_1,0.0
77,Person_241,Group_2,Item_1,Threshold_1,0.0
78,Person_244,Group_2,Item_1,Threshold_1,0.0
79,Person_245,Group_2,Item_1,Threshold_1,1.0
80,Person_246,Group_2,Item_1,Threshold_1,1.0
81,Person_250,Group_1,Item_1,Threshold_1,1.0
82,Person_254,Group_1,Item_1,Threshold_1,1.0
83,Person_260,Group_1,Item_1,Threshold_1,0.0
84,Person_262,Group_2,Item_1,Threshold_1,0.0
85,Person_268,Group_1,Item_1,Threshold_1,1.0
86,Person_270,Group_2,Item_1,Threshold_1,0.0
87,Person_272,Group_2,Item_1,Threshold_1,1.0
88,Person_274,Group_2,Item_1,Threshold_1,0.0
89,Person_276,Group_2,Item_1,Threshold_1,1.0
90,Person_279,Group_2,Item_1,Threshold_1,0.0
91,Person_283,Group_2,Item_1,Threshold_1,1.0
92,Person_284,Group_1,Item_1,Threshold_1,0.0
93,Person_288,Group_2,Item_1,Threshold_1,0.0
94,Person_289,Group_2,Item_1,Threshold_1,1.0
95,Person_293,Group_1,Item_1,Threshold_1,1.0
96,Person_296,Group_1,Item_1,Threshold_1,0.0
97,Person_297,Group_1,Item_1,Threshold_1,1.0
98,Person_300,Group_2,Item_1,Threshold_1,1.0
99,Person_301,Group_2,Item_1,Threshold_1,1.0
100,Person_307,Group_1,Item_1,Threshold_1,0.0
101,Person_311,Group_2,Item_1,Threshold_1,1.0
102,Person_313,Group_1,Item_1,Threshold_1,1.0
103,Person_314,Group_2,Item_1,Threshold_1,1.0
104,Person_316,Group_1,Item_1,Threshold_1,1.0
105,Person_318,Group_2,Item_1,Threshold_1,0.0
106,Person_322,Group_2,Item_1,Threshold_1,0.0
107,Person_323,Group_1,Item_1,Threshold_1,1.0
108,Person_324,Group_1,Item_1,Threshold_1,1.0
109,Person_326,Group_1,Item_1,Threshold_1,0.0
110,Person_328,Group_1,Item_1,Threshold_1,0.0
111,Person_333,Group_1,Item_1,Threshold_1,1.0
112,Person_336,Group_2,Item_1,Threshold_1,1.0
113,Person_337,Group_1,Item_1,Threshold_1,1.0
114,Person_339,Group_1,Item_1,Threshold_1,0.0
115,Person_341,Group_1,Item_1,Threshold_1,0.0
116,Person_342,Group_1,Item_1,Threshold_1,1.0
117,Person_344,Group_1,Item_1,Threshold_1,1.0
118,Person_346,Group_2,Item_1,Threshold_1,0.0
119,Person_352,Group_1,Item_1,Threshold_1,0.0
120,Person_353,Group_1,Item_1,Threshold_1,1.0
121,Person_355,Group_2,Item_1,Threshold_1,1.0
122,Person_356,Group_1,Item_1,Threshold_1,1.0
123,Person_357,Group_1,Item_1,Threshold_1,1.0
124,Person_359,Group_1,Item_1,Threshold_1,1.0
125,Person_360,Group_1,Item_1,Threshold_1,1.0
126,Person_362,Group_1,Item_1,Threshold_1,1.0
127,Person_364,Group_2,Item_1,Threshold_1,0.0
128,Person_365,Group_1,Item_1,Threshold_1,1.0
129,Person_366,Group_2,Item_1,Threshold_1,1.0
130,Person_367,Group_1,Item_1,Threshold_1,1.0
131,Person_371,Group_2,Item_1,Threshold_1,1.0
132,Person_373,Group_2,Item_1,Threshold_1,0.0
133,Person_374,Group_1,Item_1,Threshold_1,1.0
134,Person_376,Group_1,Item_1,Threshold_1,1.0
135,Person_380,Group_2,Item_1,Threshold_1,0.0
136,Person_382,Group_1,Item_1,Threshold_1,0.0
137,Person_384,Group_2,Item_1,Threshold_1,0.0
138,Person_386,Group_1,Item_1,Threshold_1,1.0
139,Person_387,Group_1,Item_1,Threshold_1,1.0
140,Person_388,Group_1,Item_1,Threshold_1,1.0
141,Person_393,Group_1,Item_1,Threshold_1,0.0
142,Person_395,Group_1,Item_1,Threshold_1,1.0
143,Person_397,Group_2,Item_1,Threshold_1,1.0
144,Person_400,Group_1,Item_1,Threshold_1,1.0
145,Person_406,Group_2,Item_1,Threshold_1,0.0
146,Person_410,Group_2,Item_1,Threshold_1,0.0
147,Person_411,Group_1,Item_1,Threshold_1,1.0
148,Person_415,Group_2,Item_1,Threshold_1,1.0
149,Person_418,Group_1,Item_1,Threshold_1,0.0
150,Person_419,Group_2,Item_1,Threshold_1,0.0
151,Person_420,Group_1,Item_1,Threshold_1,0.0
152,Person_423,Group_2,Item_1,Threshold_1,1.0
153,Person_424,Group_2,Item_1,Threshold_1,1.0
