,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
Item_1,-0.11547928387201153,-0.08236645732973176,-0.0431802974042413,-0.019969429126517377,-0.09843176486604557,0.020617027510142848,0.12103110469922779,0.1228812363955515,-0.13526936305656312,-0.06010996160669238,-0.03057437825109871
Item_2,0.10376541294838557,0.02216171761383465,-0.07184350744915598,-0.07386385332053051,0.07548422525690876,0.19872353293794173,0.06268956591865989,-0.04401433691518313,0.04561808658293909,-0.06874752764761254,-0.07723120614269413
Item_3,0.15032903474201886,-0.016944606901629,-0.04474909652749946,0.14102990226155546,-0.007843429245795997,-0.0652827108019405,0.04846821933000854,0.023177166030397427,-0.022498381908040332,0.14214459569143187,-0.11239090477558306
Item_4,-0.02909004505507693,0.15678842988715236,0.0162869377747803,-0.0029816791629883915,-0.16693987112472433,-0.044601613060229,-0.07499013006768848,-0.11219480511667265,-0.019785605533704242,-0.0675167272770741,-0.08497575084156125
Item_5,-0.0765568126475544,-0.0607154445192546,-0.1845689324574141,-0.06425570272012508,-0.047085765549563736,-0.06957964251505874,-0.024776183618618722,0.020197771720549606,0.17018460558927964,0.03442989669313831,0.025756419540864422
Item_6,0.027678069930976233,-0.07943683950419346,0.19630882209499848,0.08077745624906736,-0.02138465871915512,-0.029942422944418536,0.052813534279588056,0.03611731170687088,0.1391335315189683,-0.09845321062865664,0.0031542730260592797
Item_7,-0.021214684823757702,-0.09426895266672825,0.13141290147551662,-0.13575294721028908,-0.020897694091395493,0.07113153453545842,-0.1315124269258462,0.02334492021490942,-0.025737720087998503,0.12746390572616118,-0.0329802337656756
Item_8,-0.09473123545526668,-0.03349976238202256,-0.023690282031126574,0.18050293042339682,-0.019596838547167348,0.13029811828200238,-0.02230892308631331,-0.09786123112196309,-0.02281473406042608,0.04641000705972799,0.11040871923508952
Item_9,-0.08081080907714457,0.10464583379821445,0.06969943822999371,-0.09015051868163076,0.08733014470792295,-0.07053394602891576,0.16476662274364634,-0.08247945791276022,-0.008448161357084935,0.08506775500357291,0.043373883281378194
Item_10,-0.06084524176308093,-0.08462020351359517,-0.031201854483696133,0.02950325470428398,0.18825300748825846,-0.09999862421155467,-0.09426961982855286,-0.05114641764048619,-0.07024841015138751,-0.08994135004492403,-0.05363302735328315
Item_11,-0.004539504534694239,0.19702610366383738,-0.0014690869184570234,0.03993812137856063,0.0715767331936508,0.021782284389455384,-0.07656860545648884,0.1797891590798939,0.003443044866872265,-0.004369139742149396,0.049712902655532146
Item_12,0.20743712665498198,-0.03916220009696922,-0.02710774417206309,-0.06832691567240404,-0.04508765311743026,-0.05811179231910369,-0.014589945690696287,-0.024972794490064593,-0.07722142075651257,-0.04481784574594745,0.14953127890967785
