,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Item_1,1.0,0.037516215164311605,-0.012712049569994742,0.006573406959828895,0.055278531561093566,-0.013429052435577763,-0.05099083002782185,0.01901784506986708,0.0017358746608477304,0.03511393301372106,-0.006584021922680278,-0.016595500686143873
Item_2,0.037516215164311605,1.0,0.004949386140930249,-0.031074996799013176,0.028707070863399724,-0.022373625911602035,-0.010540760389825002,-0.005474629297274329,-0.0012077701403920378,-0.05572449960969618,0.038638713398070706,-0.011509395025574758
Item_3,-0.012712049569994742,0.004949386140930249,1.0,-0.011811238369984852,0.024314172278695954,0.010328323751117589,-0.01864510555060204,-0.01736188236084693,0.017823012371104275,-0.029578328497662648,0.006264731883080281,-0.016625174941257315
Item_4,0.006573406959828895,-0.031074996799013176,-0.011811238369984852,1.0,-0.017409975960822992,0.023942188374017098,-0.020828565758326832,-0.032706092040287536,0.025705496101073894,0.03928872909974961,0.01509808866304293,-0.014781192555155944
Item_5,0.055278531561093566,0.028707070863399724,0.024314172278695954,-0.017409975960822992,1.0,-0.03893608374928831,0.004431837383931647,-0.009426150826129824,0.006949563334429259,-0.05982517909352984,0.014513058386651564,0.0014037047517594808
Item_6,-0.013429052435577763,-0.022373625911602035,0.010328323751117589,0.023942188374017098,-0.03893608374928831,1.0,-0.01816933869569948,0.01310316372671464,0.016425524166547932,0.03351871914761045,-0.01508353710680595,-0.010672318522854187
Item_7,-0.05099083002782185,-0.010540760389825002,-0.01864510555060204,-0.020828565758326832,0.004431837383931647,-0.01816933869569948,1.0,-0.04706948069447971,-0.03319937136736802,-0.003764539318399091,-0.00870415073551598,-0.008927108005676424
Item_8,0.01901784506986708,-0.005474629297274329,-0.01736188236084693,-0.032706092040287536,-0.009426150826129824,0.01310316372671464,-0.04706948069447971,1.0,-0.006846990838203176,-0.053563694687548145,-0.016619910669692886,0.035199446880346694
Item_9,0.0017358746608477304,-0.0012077701403920378,0.017823012371104275,0.025705496101073894,0.006949563334429259,0.016425524166547932,-0.03319937136736802,-0.006846990838203176,1.0,-0.0010052821230213801,-0.015655026676294873,-0.04422167434615989
Item_10,0.03511393301372106,-0.05572449960969618,-0.029578328497662648,0.03928872909974961,-0.05982517909352984,0.03351871914761045,-0.003764539318399091,-0.053563694687548145,-0.0010052821230213801,1.0,-0.02606231195785966,-0.008331628237265855
Item_11,-0.006584021922680278,0.038638713398070706,0.006264731883080281,0.01509808866304293,0.014513058386651564,-0.01508353710680595,-0.00870415073551598,-0.016619910669692886,-0.015655026676294873,-0.02606231195785966,1.0,0.0008398089543802133
Item_12,-0.016595500686143873,-0.011509395025574758,-0.016625174941257315,-0.014781192555155944,0.0014037047517594808,-0.010672318522854187,-0.008927108005676424,0.035199446880346694,-0.04422167434615989,-0.008331628237265855,0.0008398089543802133,1.0
