,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
Item_1,-0.03535249035445271,-0.06550884923408959,-0.13321430695791828,0.16956543989813877,-0.05186939812934356,0.01565902256397738,0.05423217754652001,-0.03336414952417895,0.02800579853720113,0.01929282495929656,0.15212978072909986
Item_2,-0.14194832334007812,-0.05604363683692504,0.004504099518860796,0.029463093935398667,0.06711921428565347,0.1605970774686045,0.025130767840629578,0.0887469260922669,-0.11745419770455946,0.06284050202050305,-0.06170457587269166
Item_3,-0.03871597222934099,-0.0712308659281753,0.020693473904746566,-0.16118525034033293,-0.04131023077126428,-0.09454361722694431,0.17420690124231894,0.025523236407152875,0.03575067982202588,0.09026417619495014,0.014452346925187666
Item_4,0.128826755659361,-0.06233507610714772,0.0037823305568000496,0.02937757833483283,0.1040698918741665,-0.10648179714598874,-0.09537401050996501,-0.0709138245304465,-0.09347543220633371,0.1332258503196023,-0.005038261210748953
Item_5,-0.14481138415370537,-0.07071765615621693,0.00902802309516616,0.044177149468366,-0.09961631435928245,-0.10444507166644704,-0.0301448323597184,-0.09993393497415567,-0.04881407746629746,-0.1042808755291581,-0.10546269521958404
Item_6,0.1253742537150264,0.03724088335631714,-0.04521613460955061,-0.10759156977061196,0.010296242710492523,0.10313536750713069,0.06909481683021233,-0.11938828111918845,-0.10279981588702632,-0.10946149127209279,0.03274040817267987
Item_7,0.006622283851891346,0.04523993775297867,0.22675223884615406,0.009862379931952788,-0.11817598851404187,0.07764420470101159,-0.06720902112357444,-0.03814870956123507,0.036957910128162,0.04830158137862566,0.06044785205295225
Item_8,-0.05960190974105538,0.15525606328736888,-0.1521202533853411,-0.05680155303718861,-0.008077945350794556,0.038789184384844196,-0.06839453772261377,-0.0593720207711478,0.10557919480474685,0.08103028480123288,-0.06591281559768382
Item_9,0.04503955686569959,-0.12663787851691555,-0.06965248146977954,-0.10800474567864164,-0.04052089974955673,0.006479889528422301,-0.15131870622930235,0.13098946980098805,0.031211124255337067,-0.07330833907415782,0.03981537067159155
Item_10,0.1921190755935498,-0.004165424492639671,0.006995841651764909,0.11978013368025024,-0.032543067212756176,0.014253054367881924,0.08156066532704619,0.0745255950697574,0.07087209101625289,-0.025618055436373244,-0.12678835898332
Item_11,-0.06526686246964686,-0.025241929152966816,0.08024674477291437,0.010981658926894322,0.21702714053771077,-0.010000134507625266,0.011128728796126839,-0.03313843034516649,0.12435864457414984,-0.08867468724819624,0.025418245152580458
Item_12,-0.030006477162020557,0.2032175044351632,0.010585903293387109,0.028104407326879015,0.016198602446392048,-0.11554131123869509,0.009040114638566419,0.12090789795086188,-0.09019325876220743,-0.050056725471838044,0.055113628116923066
