,1,2,3,4,5
Rater_1,-0.551208452479286,-0.3120196553548577,-0.004100185557934041,0.3070562397692429,0.5602720536228349
Rater_2,0.42990876575149284,0.24335618280246513,0.0031978931103741753,-0.23948502324617446,-0.4369778184181578
Rater_3,-1.4795329556140266,-0.8375114003067484,-0.011005563557326016,0.8241887872403217,1.50386113223778
Rater_4,-1.019480120982379,-0.5770917237558224,-0.007583442615677021,0.5679117057445809,1.0362435816092976
Rater_5,-0.610602937521166,-0.3456407775807421,-0.004541993749906202,0.3401425379890177,0.6206431708627967
Rater_6,0.8687146193408417,0.4917486930929128,0.006461967555407436,-0.4839262591993582,-0.8829990207898041
Rater_7,0.16423664401145463,0.09296856902428992,0.001221680677845967,-0.09148968256137568,-0.16693721115221488
Rater_8,1.5415661670485765,0.8726262124350884,0.011467000018418326,-0.8587450146679463,-1.5669143648341373
Rater_9,1.0054771471212804,0.5691651343531551,0.007479280948824568,-0.5601112076208018,-1.0220103548024586
Rater_10,-0.3490788766767889,-0.19760123470974103,-0.002596636830027193,0.19445791655249348,0.35481883166406375
