,1,2,3,4,5
Rater_1,0.9555633952797249,0.7371454780514859,0.4559653806739278,0.17182942125944256,-0.05939742270676507
Rater_2,-1.76933386999122,-1.1928542912825328,-0.450723855581605,0.29920811088837673,0.9094948276895786
Rater_3,0.5129977180898346,0.6183793826516254,0.754042367993299,0.8911314893663903,1.0026931690021579
Rater_4,-0.6005191079206967,-0.24287841023357581,0.21753000075204523,0.6827783835429501,1.0613926055330396
Rater_5,-1.243954711779564,-1.3755725976502922,-1.5450107574652092,-1.7162301095795627,-1.8555666106578648
Rater_6,2.3963946481125094,1.9869065800211296,1.459752506206914,0.927056807189025,0.49355467133792996
Rater_7,0.415906342097938,0.4141026191182535,0.41178059806107153,0.4094341671187096,0.4075246663905897
Rater_8,2.1841072721897725,1.449625340977693,0.5040907275125281,-0.45138367150150294,-1.2289386498639505
Rater_9,-2.2310215303693757,-1.8650741225495833,-1.3939720761990988,-0.9179176428649214,-0.5305095710291132
Rater_10,-0.6201401557089241,-0.5297799791042036,-0.4134548919538729,-0.29590695541890666,-0.20024768569560158
