,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
Rater_1,0.5815082434027532,0.7478894339496751,0.4075706752410082,0.7737164129191306,0.5870953158947947,0.1354627102277301,0.10728062338495847,0.2772465890724555
Rater_2,-0.782074403806862,-1.2212112651446212,-0.32299367779336313,-1.289377495024341,-0.7968205987953496,0.395192298086146,0.46957446304963524,0.02097615418491061
Rater_3,0.6934707994328717,0.613195668921096,0.77739170983859,0.6007347404911288,0.6907751643553544,0.9086775981828881,0.9222748124590997,0.840270109684263
Rater_4,0.011964278004778839,-0.2604707210298226,0.2967722004535738,-0.3027601947827223,0.0028159236507071528,0.7423257689910794,0.7884715308801813,0.510166768510244
Rater_5,-1.4693590600760231,-1.3690983267701686,-1.574173240549239,-1.3535350780517252,-1.4659923094040048,-1.7381445645968403,-1.7551269932214792,-1.6527060867425083
Rater_6,1.695119205852567,2.0070492578757637,1.3690225208418878,2.055469460105728,1.705593802213917,0.8588768042286813,0.8060412656314933,1.124692023837975
Rater_7,0.4128173470114918,0.41419134407448516,0.4113809484197228,0.41440462655631727,0.4128634857677392,0.40913384618709436,0.40890111492448167,0.41030471551716763
Rater_8,0.9262583108184599,1.4857544350424141,0.3413520787886364,1.5726037633007592,0.9450461641495964,-0.5736753428504795,-0.6684442786252653,-0.09689349972085592
Rater_9,-1.6043123530816121,-1.8830750396014753,-1.3128893645327608,-1.9263467460879546,-1.6136731908815043,-0.856987185318804,-0.8097696229597249,-1.0945384063555117
Rater_10,-0.46539236755842545,-0.5342247873173469,-0.39343385070805587,-0.5449094894263214,-0.46770375695125027,-0.2808619331374951,-0.2692029155233798,-0.3395183679881396
