,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49
Item_1,0.07670420590237337,-0.010875805557393585,0.019643111774762623,-0.02654603512773293,0.02714599782606133,0.029376560465892633,0.023954879594844568,0.023381377570090713,0.05960737484719328,0.007146531033985472,-0.03136377905544416,0.007868593069902402,0.013325477969558436,-0.020522684852429675,0.05906153678674848,0.005256453747793836,-0.0019404341411403813,0.0077023377861931705,0.022315170520139333,0.015658090614974533,-0.009043061999024701,0.007562362613393423,-0.009622085345492777,-0.008807586297255095,-0.03667168108131058,0.002052866326974647,0.02733647042424914,0.017070163729494485,0.0033685265736169956,0.013574457857048071,0.0076362352915580415,0.011485428655667604,-0.002731500616112207,-0.021942735747510957,0.012188629446841884,0.01609393180203756,-0.02747876733456058,0.0001754231826237023,-0.009796332384266868,0.00641158115031102,-0.002067064484403454,0.002589721341259127,-0.004192189921622972,0.006547132077113838,-0.006975339387983512,-0.017487012392010177,-0.016123533908518145,-0.001495311830506028,-0.015296351281100505
Item_2,-0.008022271259199966,0.010203522181690312,-0.05068284170065831,-0.0018214024301208929,-0.012970263049334243,-0.036898012102018346,-0.0009792647386579999,0.03866493689483912,0.018141653810570042,-0.011465615677102308,-0.038544313711403745,-0.007886672828785928,-0.0013974515766042828,0.022995441154207874,-0.0031239495542145458,-0.009168936105346694,-0.05338485830981388,-0.0059641495083743255,-0.016356303111992893,0.006285888999461307,-0.03289109389729194,-0.002203664278708572,0.006307826809268662,-0.01883334070169178,0.07112464611524316,-0.0029963726605533123,0.051013938738523876,0.009037574539997232,-0.014648253622123297,-0.010609185448094765,0.012737107527434245,0.0061922970793608055,-0.008754507432222258,-0.027291733040925015,-0.01091208808744933,0.00043895981721566834,0.004076235611070504,0.00831874843511074,0.006339435598213895,-0.003612117491856859,0.004749296506339846,-0.002235253959847178,0.0067197796872900985,-0.004112160774265741,0.011788471163638695,0.0023384569745986167,-0.015775501646054436,-0.011742131158467933,0.004670576533694147
Item_3,-0.024194729775993785,-0.04632026117043714,-0.0017108747271998934,0.028245875661949135,-0.012417264753192169,0.05773525443473582,-0.01937790340257653,-0.04890982764132662,-0.0014479779854239534,-0.015604038770679531,-0.02359106356662796,0.044637833377462424,0.005387878093977777,0.026228014807445247,-0.008278003973480028,0.03718692837329302,0.004549063577118656,-0.02386031474352733,0.025698314426737166,0.010018201236650386,-0.016592077999736197,0.00945913729940821,-0.002147503989561302,0.0065058890798391136,0.0011071638838788696,-0.008748604932265078,-0.014490824725444083,-0.0204816288594937,0.05256380989414955,-0.018040032914797482,0.014733756575117425,0.014496202244789692,-0.006980604338952389,0.0009774569193602258,-0.017431246133055227,0.025764753848561524,0.0014432928563533497,0.02646672786854609,-0.008054968142866704,-0.02385081421559236,-0.0037252617416419207,-0.007972920263884747,0.012799795410270034,-0.01223034878540589,0.005334334820091271,-0.013718151740970831,-0.003111724096279179,-0.005381175618856506,0.004438692514560951
Item_4,-0.03261647737898622,0.007091400092067941,-0.08629924539509655,0.008600784580920458,-0.03911113005272411,0.01152507197866989,0.021359540095887034,-0.034501476180155984,-0.024490633883527964,-0.005172037609962613,-0.016392532703155785,-0.038421356846964204,0.044676257945009484,0.011760327964906015,0.017832411434704334,0.011121883347785957,0.013541959670990733,-0.008285981893842572,-0.026724609327030763,-0.004696737533368521,-0.0012053229796446356,0.03697671952616086,-0.01743337946068743,0.013758434521528183,-0.021910817938034493,-0.0114708641611482,0.001174043033594022,0.017128562089231518,-0.016055563426724092,0.005856756206710108,-0.010846801462977786,-0.01232652201134182,-0.027691649867022553,0.012886754109801252,0.02398203204823804,0.0057108319850561855,-0.0032539281363686136,0.02027668086178146,0.011101781773208927,-0.0013295433026389487,-0.011338249712365786,0.009274555888032743,0.003235445553899196,0.019418193567656675,0.02737894839480796,0.0028774460897510123,0.002928928075621052,0.0011634472848206844,-0.009749957875171366
Item_5,0.03900973721714887,0.037078259695481924,0.035322001919471796,-0.03225146256469409,0.00392377645063266,-0.04898246838658517,-0.022963748896150587,-0.014384526610088539,0.013071752491266879,-0.0012577925656793655,-0.03722300981099942,-0.06578871447752246,-0.013952499616758395,0.030150242548353173,-0.0006623883469304013,0.032483499044742986,-0.024058636235297935,0.0014657641157953029,0.03437278626059638,0.01998034107483163,-0.0047147866133774655,-0.026340007206214103,-0.022156397260892927,0.016429435238211602,-0.006086281765596485,-0.01456089872353712,0.0036030686310177264,0.023490904632240423,0.015600132655072759,-0.026483347303218868,0.0025066239752166305,0.013074899106142072,-0.013296365859969492,0.017854519216540497,0.016778108688625358,0.0026454843679170215,-0.0003842212077607129,-0.01562370552413173,-0.004440853474917701,0.0018592993308313946,0.000971184065491338,0.0012276856503106053,-0.014137144121829268,-0.017399054569642133,0.017951628844152537,-0.00529561312775803,0.018459698387594,0.011472365497776915,0.008395403350230713
Item_6,0.007505765671703363,0.010368401173409248,-0.003114168006884146,0.003751458398047756,0.014881219049219926,0.01869508825579483,0.011330045151422401,0.033260677704534405,-0.03563215117545755,0.030802592408007735,0.046895301493720544,-0.004240106305985057,0.02314674932050155,0.03407528877463636,0.05192541147474844,-0.011986738702555615,-0.0019236046761170068,0.0017370367486837692,0.00764801795794669,-0.04067466447240588,0.012933202299319798,-0.017603736792465904,-0.023636086382114604,0.0376671808225355,0.027434117132415427,0.05017034684467587,-0.004985423282703577,-0.0108854583188553,0.0014426428279339292,0.013446113568477382,0.044695832480788095,-0.010863555504724271,0.008146445383400074,-0.012210821765395164,0.003135063232174996,-0.009364603046435823,-0.002833122648470917,0.0011335223391850783,-0.022382289941321045,-0.018539298170600627,-0.013320497936565583,0.009456805734344865,-0.007228358644714916,-0.004809910625125657,0.011198778619846922,-0.0057048681368637305,0.007791480696936251,-8.804470307583452e-05,0.002013907988288317
Item_7,0.05174916738288518,-0.030386399015885746,-0.01126519249204504,-0.06069859035793548,0.0007535101985099791,0.028631997450474518,0.026218930055129746,-0.019505418670017666,-0.044123474379795,-0.02420995864608372,0.022176319240181527,0.01868362184905469,0.02336463582902781,0.008184425868813672,0.01916626705326282,0.0072554848456101205,-0.0215856889463558,0.01493934276106141,-0.01777166836770384,0.0016978697607837661,-0.007231632198736721,-0.040131297312743286,-0.03371012381054603,-0.030394780960070512,-0.018483143844483168,-0.004361611996346102,-0.02773318054038388,-0.005533611049060404,-0.018238969985865668,-0.0008268990516802878,-0.016077150290788125,-0.015081728242839593,-0.02757338206848488,-0.033422541982491845,-0.018894083330658437,0.004416774099260833,0.004212084443865874,0.008831187035803755,0.007159058090803959,0.02201326648152881,0.002049779383049605,-0.02102146847765101,-0.0065639593854817345,-0.003157592244258043,0.00027017050085138036,0.0031805598595646203,0.006581637838793012,-0.002768461048632853,0.015452832745722823
Item_8,0.016979006389611563,0.0018362580913843297,-0.024268895578331447,-0.019723086716680372,0.0003154503606554371,0.016458785381025628,-0.0403447082471815,-0.04889847658788017,0.017969937818163688,-0.020057027907824876,0.028334447222107796,0.0053203385530448885,-0.02682453824108262,-0.05304779690648205,0.010230955504972383,-0.01012767237323789,0.05068623612822374,0.007253398313504873,-0.03157125413363388,-0.00015870325899329735,-0.018396052736255986,-0.01899807544267662,-0.01615438727112183,0.014204197541284401,0.023041227894243302,0.01646726188442244,0.0315071619846498,-0.01108833662696795,-0.0023427567745731345,0.023923266346063378,0.00906572085235937,0.05573602307319625,-0.0055203303878226615,0.025810928153290596,-0.001100530903161903,0.0012634359484026793,0.005225444419814039,-0.004077400975467336,-0.008393190661206494,0.010678215561817212,0.0033503867796813285,-0.022314434400793115,-0.009165715026299249,0.0022855173111056954,0.009092974675996013,0.008206408165248189,0.0037987067652503533,-0.005793527296921026,-0.0012848359136884303
Item_9,-0.0065451053860660835,-0.052397483293257684,-0.044175074083484075,0.025682459209059077,0.07011824350526977,-0.01574460184735945,0.012608697718069871,-0.005772311121890274,-0.05303260745597069,-0.001956073302618508,0.003304075836051923,0.0058318083682221975,-0.01623837682165491,0.037764796503943245,-0.01895391640822402,0.06288242452917026,0.005080836831178427,-0.0017800391795334135,-0.0165980910371591,0.025416138759927976,-0.0018007092383013088,-0.012494531019278927,-0.015788382757281998,-0.011475539771194785,0.012121654952320786,0.006800901272749321,0.00661852732614689,0.013337353658730683,-0.015790748105994856,-0.026030374678708973,0.009597005401624023,0.004777228580685359,0.012815426638287004,0.0016906074018116929,-0.004200477451626996,-0.004579945721669956,-0.011223860283832376,-0.020455025330563915,-0.01077546285882596,-0.010835789138834134,0.013750053588058204,-0.011127716609709355,-0.0005711552590702116,0.024490057566008284,-0.015439125500818256,0.0015828384209287572,0.003824551499035665,0.0115269835581206,-0.013885143387595271
Item_10,0.042690419074770065,-0.05184837751511351,0.019676297018377076,-0.009384277561580584,0.0020197325084519453,-0.018706971892684117,-0.06639224154277093,0.00019920627007565222,0.046880911562960224,-0.025411663837288642,-0.047769748387266615,0.02009312561734166,0.039116710008379026,0.0039609411580564195,-0.010775177263741548,-0.022649092858561315,-0.014634086577508908,0.002296786320501991,-0.007664581003447583,-0.015890247379053604,0.014276639690705835,-0.019173105124170458,-0.014132181048704411,-0.008102394298660677,0.025794208107179535,0.014971485262143902,-0.01231821304820022,-0.0215357444453106,-0.025921048240761302,-0.0026647669624682434,0.0020397967193103717,-0.015407111228069453,0.003547097213273984,0.029747461481116635,0.015534375138890106,-0.0026596926269067595,0.0031229506752507965,0.032350874497429176,-0.003988782244508454,0.00546325695790623,-0.01228230605017031,0.006964343764390758,0.012139636682632977,0.009976688562731742,-0.014339735256506841,0.0014495703796886105,0.0045445330096569895,0.01948838088955455,-0.00027051945936643003
