,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41,Item_42,Item_43,Item_44,Item_45,Item_46,Item_47,Item_48,Item_49,Item_50
Item_1,1.0,-0.05185327328742044,-0.06524890724864561,-0.12031642006017142,0.07272945962682593,-0.019290399865869213,0.08349923587768021,-0.013933567438771065,-0.1432966163384632,0.03951438167292296,-0.07228020762419743,0.047952219392187995,-0.08229616248985774,-0.09803499300582788,-0.09164032382270151,-0.04768221085473992,0.01621648610174658,-0.12117605438673099,-0.14267031454315265,-0.06089260508609939,-0.10438594143347947,-0.05830838588865434,-0.06651501019562604,-0.0169635936351273,0.02216767814248668,-0.040568553100553885,-0.03091171391352395,-0.024894836411118497,-0.01171008662181951,-0.06798372629787611,-0.03421775741920566,-0.14831023746875888,-0.010148327627651095,0.12043857621103621,-0.11702838399647249,0.0670929565438395,-0.024759811403225696,-0.05340554648772403,0.011199534304606353,-0.1138908918358481,-0.03724250961026622,-0.03935051029335932,-0.011644518853669978,-0.05683631169170357,0.051541005104299514,-0.04905560786960644,0.018664928232116643,-0.022746716670198543,-0.06227630643848797,-0.02661627640026422
Item_2,-0.05185327328742044,1.0,-0.10604614420269357,0.01009150835373312,0.036495834882919194,-0.04465946465938597,-0.08244802405381994,-0.07404908477752932,0.03843086910219307,0.05312830066202656,-0.01250963936281544,-0.07288883985369107,0.03357221206543693,-0.09632751733707616,0.00799628828909825,-0.08530911185244379,0.005062287693162879,0.08338938254675148,0.004417668540589463,0.0024311944012163807,-0.0452060409764703,-0.02744512674311135,-0.053305664941384556,0.010503264749931107,-0.05229145177064228,-0.09156055197168511,-0.02881557641538767,-0.030060085784174673,-0.0013779179486719578,-0.027166714577990587,-0.03328830271490509,-0.0697606704214921,-0.07944810020269151,-0.014314807933454611,-0.09085076952714718,-0.06576544899451174,-0.060792609880419575,-0.020709030364899517,-0.02308535568300973,-0.004398593589746874,-0.029033330435684117,-0.07188249655559542,-0.06529137483020478,0.016976917244304807,-0.023283452314251406,-0.05369292467312928,-0.004245150283979768,-0.056633720431796736,-0.07508731092179873,0.0009559099050406384
Item_3,-0.06524890724864561,-0.10604614420269357,1.0,0.010855487467732591,-0.094943381279866,-0.09016708278748707,-0.02350318507158431,-0.01702554012513151,0.06903897537963395,0.011013649697125106,-0.015330428164899169,0.01403574671292428,-0.08109071370344988,0.045818434037323316,-0.03918654045754286,0.020416561954559903,-0.09059538132517968,-0.04442675571597976,-0.0343513218152944,0.061927081609905565,-0.10819360889571127,0.01588732115424665,0.0025510707563976514,-0.05059349890257146,-0.0683374082725274,-0.05285016898014899,-0.04160377584110802,0.036223079578549165,-0.044848887934646475,-0.10580840256018542,-0.06401320838791824,0.07713838597590826,-0.06841844332079373,0.017871545067519985,-0.09227880063507109,-0.03538337666550801,-0.06752153953625842,-0.03809218523657034,0.008319861036063886,-0.0461558558088419,-0.12373963884077127,-0.10712078347119622,-0.013324825003334104,0.0025434812870542335,-0.04394020161157576,-0.03239410468156696,0.009390579094263347,0.020927744986825744,-0.05740594818692195,-0.02334814777870375
Item_4,-0.12031642006017142,0.01009150835373312,0.010855487467732591,1.0,-0.07788236054544918,-0.03431882651730118,0.021654329251015358,-0.03681715332779733,-0.0001728421651139577,-0.11921544326357425,0.02942747063289632,-0.11037653869792914,0.057277767429630734,-0.07295737173231905,0.003012271072234233,-0.11281785164950514,-0.026089385884896576,0.009864837380189565,0.05497330198868405,-0.05773200144339619,-0.10144952960707616,-0.011983262503902208,-0.011189211653827955,-0.001720134170175559,-0.07129172562606297,-0.05686190045022439,-0.08492900020944552,-0.058132913449762826,0.004374957705291431,0.015051343202755182,-0.07355882497755313,0.030558393909559143,-0.041722276852188114,0.03778435411652531,-0.10625260037460216,-0.1320107123300441,0.004338831213920015,-0.1568348634803965,0.08931850923788393,-0.005264771303638746,-0.048519349427064984,0.003934013771695149,-0.14911821812718362,0.021058717841774453,-0.01630685829190715,-0.057940077017725904,-0.05394679282506918,0.035230888567169674,-0.019620905031467836,0.07356079932466
Item_5,0.07272945962682593,0.036495834882919194,-0.094943381279866,-0.07788236054544918,1.0,-0.09991934890438761,-0.061674642975268916,-0.0759884179192501,-0.02028373278812343,0.01673785789981,-0.12806352139434804,-0.10834500118009588,-0.03470775958711825,-0.008213809501301798,-0.01838526459370085,-0.04535696851212308,-0.01498316608482012,-0.06994504612760043,-0.07373816589540207,-0.05967418179023622,0.05854341363813173,-0.01072765269542071,-0.031476189932828705,-0.07146389968236892,-0.04676783321123197,-0.02124915186940537,-0.015528329338428152,-0.11424014691361187,0.01620959923064772,0.06429270639084121,0.017605971750043223,0.010137176891680423,-0.015462802427484072,-0.07846004937969783,0.13600749628353684,0.005460417691138526,-0.027943641596964,-0.13689860602856727,-0.004622062076084017,-0.0812281969777486,-0.0563550940916989,0.00803425958584343,0.0009595249869910059,0.009643364530095691,0.007733007058652706,-0.07325175946349027,-0.047734569747172724,-0.020396554211320514,0.0005028518337647954,-0.14332572761591197
Item_6,-0.019290399865869213,-0.04465946465938597,-0.09016708278748707,-0.03431882651730118,-0.09991934890438761,1.0,0.025632887991946393,-0.05551651185308128,0.001874424672827165,-0.0707002641150646,0.0008406857742341081,-0.032573257113159705,0.048070581454760467,5.364792834831873e-05,-0.05145380239629253,-0.09641978263695339,-0.06419438794472516,-0.054305088455887725,-0.058520360379947046,-0.027784239654637773,0.004102202168372143,-0.01244777913250444,0.006178039681270804,0.039389704443793104,-0.011769468045432304,-0.07734514838624616,0.00011337380001088039,0.010677786312208892,-0.08592540791142543,0.01202329829128652,-0.05998145140167442,-0.02188386578719967,-0.028351748839129793,0.012574368231658818,0.0010057353116422782,0.02105722851999254,-0.03828036499286821,-0.06478607530722566,-0.06186033250036517,-0.03847131167573717,-0.06485505374939074,0.009177817082513359,-0.0540910442448687,-0.05636137661268313,-0.018446191922792496,-0.028121519974170776,-0.0371540394104326,-0.016555344537719768,-0.012521734430368569,-0.0955854650902042
Item_7,0.08349923587768021,-0.08244802405381994,-0.02350318507158431,0.021654329251015358,-0.061674642975268916,0.025632887991946393,1.0,-0.02301266642306295,0.06386919938179626,0.009963215620942838,-0.03383784143607575,-0.006420452764531406,-0.004333434509393612,0.005044322732796786,-0.053209516413671915,-0.06243675055584568,-0.019301741376471525,-0.031017513594213588,-0.07906963353440236,-0.019989833955909624,-0.07673281831357726,-0.07631747741535055,-0.021868800275698017,-0.017240663295401602,-0.08621312958712213,-0.0004896444224355086,-0.13972140885249248,-0.031975586482965536,-0.01007691609147768,-0.10448620499374102,0.05627007776540737,-0.026944043554108146,-0.0036178285615586637,-0.10450122477628232,-0.019394774132481526,0.03638199865172201,-0.08042056711760787,-0.1469087173344876,-0.10173281429490598,-0.02797413861835952,0.10354748084101001,-0.05371344220165403,-0.03427811966049565,-0.03687651456537582,0.04975242636819301,-0.01644457950860444,-0.016411702168518914,0.026939684149619454,-0.0777745653571188,-0.10884605989268019
Item_8,-0.013933567438771065,-0.07404908477752932,-0.01702554012513151,-0.03681715332779733,-0.0759884179192501,-0.05551651185308128,-0.02301266642306295,1.0,-0.06457426997323303,0.01304519228355637,-0.007961243989614352,-0.05220447842523046,-0.06871249811174625,-0.07784829554410437,-0.03642634165010495,0.046229033606311094,-0.0424079220131955,-0.0832415376152473,0.013148947689836083,-0.11465226140715987,-0.017704041584307318,-0.05382979558891276,-0.025526045666429506,-0.05453974832375044,-0.07731574978174226,-0.03223588070930993,-0.07414505068143254,-0.023328540422862476,0.017546169096879075,-0.047554534029011886,-0.0038187697503316333,-0.0271190852994075,-0.042736348902856006,-0.09527004173335506,-0.07500817660905086,-0.044062107836860605,0.006075047998894014,-0.10413538944165623,-0.05287125842454462,0.02571466352136296,-0.046205632052622674,0.030347119861062394,-0.09009889810314484,-0.0035713957326498026,0.015059058710693718,0.00624931585815304,0.007035442461005559,-0.0014489944055119308,-0.11520878276285802,-0.03925824363138165
Item_9,-0.1432966163384632,0.03843086910219307,0.06903897537963395,-0.0001728421651139577,-0.02028373278812343,0.001874424672827165,0.06386919938179626,-0.06457426997323303,1.0,-0.10423031383381438,-0.06295603617518722,-0.020516841687411635,-0.12119189420908459,-0.044520026318494145,-0.10084070110971839,-0.09721372340112241,0.0038596398096920246,-0.13194706373692902,-0.022596143412588872,-0.017992750113439846,-0.01154146495869599,-0.0031817881333090787,-0.05853859518839018,-0.030912284429854883,0.10631302595924713,0.035345821959652884,-0.09383921943404773,0.0024686942827352363,-0.06065667650383499,-0.0345249436460608,-0.03618974501601963,-0.03754889650610684,0.028169386893998435,0.042064304207474985,-0.12297331309802804,-0.07088447714980027,0.03470804668930859,0.01113927675038069,-0.12213504032738846,0.05373281272995149,-0.016136718457379597,-0.027334437738163693,-0.05695471459825873,-0.008142254398210428,-0.11111794712014791,-0.06972494344475126,-0.14388393706237962,0.05662534247879217,-0.09400626242582086,-0.024219673205700495
Item_10,0.03951438167292296,0.05312830066202656,0.011013649697125106,-0.11921544326357425,0.01673785789981,-0.0707002641150646,0.009963215620942838,0.01304519228355637,-0.10423031383381438,1.0,-0.06909873164132303,-0.03608116013436011,-0.12636797358516239,0.07018489170152645,-0.024108606672534675,-0.07251675421070435,-0.01361279964633573,-0.07091985352480638,-0.0009011637158630224,0.00035647514279784986,-0.04061201576446651,-0.0549869966946447,-0.03905296242699362,-0.11382413514609815,-0.060944006607975686,0.11028000147640052,-0.0767906148857977,0.0004777293583259218,-0.01076133008693414,-0.04525763631813477,-0.0663272803693191,-0.040190137382178345,0.0659935232729651,-0.054439397516792824,-0.06472701021231851,0.03559503640484235,-0.11338942145289416,0.0016339378257260175,0.02629664082432226,-0.04301839279257049,-0.05735270016404824,-0.0477937239099705,0.003842680514975466,-0.09457889621470024,-0.046343890478273815,-0.1707068435603108,-0.019538848019246456,-0.017795488129948883,-0.1168332715399142,-0.040116900069438334
